"year","BoroughID","n"
2014,1,38007
2014,2,54222
2014,3,56903
2014,4,23546
2014,5,2472
2015,1,85772
2015,2,109416
2015,3,115547
2015,4,47164
2015,5,4765
2016,1,59206
2016,2,80546
2016,3,83497
2016,4,32996
2016,5,3901
2017,1,73005
2017,2,105901
2017,3,111629
2017,4,44946
2017,5,4715
2018,1,82933
2018,2,117421
2018,3,123393
2018,4,47743
2018,5,5396
2019,1,24360
2019,2,35906
2019,3,33786
2019,4,14460
2019,5,1474
2020,1,7070
2020,2,11354
2020,3,10164
2020,4,4742
2020,5,570
2021,1,30326
2021,2,44152
2021,3,39847
2021,4,16416
2021,5,2359
2022,1,62385
2022,2,93853
2022,3,80756
2022,4,36082
2022,5,4494
